Station N.,Date,Time,Magnet ID,B (mT),Zero (mT),Numero de Caja,B Absoluto (mT),Medicion Numero
1,2025-01-08,12:07:13,31,9.82,5.92,A1,,
1,2025-01-08,12:07:49,32,9.7,5.92,A1,,
1,2025-01-08,12:14:10,33,9.84,5.82,A1,,
1,2025-01-08,12:15:07,34,9.88,5.82,A1,,
1,2025-01-08,12:15:37,35,9.82,5.82,A1,,
1,2025-01-08,12:16:15,36,9.66,5.82,A1,,
1,2025-01-08,12:17:36,37,9.94,5.82,A1,,
1,2025-01-08,12:18:15,38,9.8,5.82,A1,,
1,2025-01-08,12:18:44,39,9.9,5.82,A1,,
1,2025-01-08,12:19:05,40,9.84,5.82,A1,,
1,2025-01-08,12:24:33,41,9.88,5.82,A2,,
1,2025-01-08,12:24:51,42,9.9,5.82,A2,,
1,2025-01-08,12:25:44,43,9.88,5.82,A2,,
1,2025-01-08,12:26:28,44,9.8,5.82,A2,,
1,2025-01-08,12:27:10,45,9.84,5.82,A2,,
1,2025-01-08,12:27:45,46,9.9,5.82,A2,,
1,2025-01-08,12:28:14,47,9.88,5.82,A2,,
1,2025-01-08,12:29:01,48,9.8,5.82,A2,,
1,2025-01-08,12:29:35,49,9.78,5.82,A2,,
1,2025-01-08,12:30:00,50,9.82,5.82,A2,,
1,2025-01-08,12:31:38,51,9.84,5.82,A3,,
1,2025-01-08,12:32:11,52,9.62,5.82,A3,,
1,2025-01-08,12:32:40,53,9.72,5.82,A3,,
1,2025-01-08,12:33:16,54,9.84,5.82,A3,,
1,2025-01-08,12:33:53,55,9.82,5.82,A3,,
1,2025-01-08,12:34:46,56,9.84,5.82,A3,,
1,2025-01-08,12:35:14,57,9.9,5.82,A3,,
1,2025-01-08,12:35:56,58,9.9,5.82,A3,,
1,2025-01-08,12:36:55,59,9.9,5.82,A3,,
1,2025-01-08,12:37:21,60,9.86,5.82,A3,,
1,2025-01-08,12:38:45,61,9.78,5.82,A4,,
1,2025-01-08,12:39:21,62,9.92,5.82,A4,,
1,2025-01-08,12:40:01,63,9.78,5.82,A4,,
1,2025-01-08,12:40:32,64,9.76,5.82,A4,,
1,2025-01-08,12:41:02,65,9.84,5.82,A4,,
1,2025-01-08,12:41:43,66,9.88,5.82,A4,,
1,2025-01-08,12:42:15,67,9.82,5.82,A4,,
1,2025-01-08,12:43:32,68,9.72,5.82,A4,,
1,2025-01-08,12:44:02,69,9.92,5.82,A4,,
